programme;transaction;tp
PCFIMT10;G218;rechercherUEEnAttenteDePaiement
PCFIMT11;G219;rechercherDocumentNonSoldePourPaiementNonIdentifie
PCFIMT12;G220;creerPaiementNonIdentifie
PCFIMT13;G221;annulationPaiementNonIdentifie
PCFIMT14;G222;remboursementPaiementNonIdentifie
PCFIMT15;G223;rechercherListeCodeObjectifPourRemboursement
PCFIMT16;G229;ouvertureBordereauEnAttente
PCFIMT17;G230;rechercheInformationsBordereau
PCFIMT19;G232;supprimerPaiementBordereau
PCFIMT1A;G410;remboursementRetrocessionValiderTiers
PCFIMT1B;G407;validerLienPaiementRegroupementMandataires
PCFIMT1C;G384;rechercherRegroupementMandatairesNonSoldes
PCFIMT1D;G408;visualisationCompteMandataire
PCFIMT1E;G412;modificationEtatSchemaRepartition
PCFIMT1F;G413;creationFraisMandataire
PCFIMT1G;G414;modificationFraisMandataire
PCFIMT1H;G415;CreationRemonteeCreditMandataire
PCFIMT1I;G416;annulationFraisMandataire
PCFIMT20;G233;validationBordereau
PCFIMT21;G235;rechercheBordereau
PCFIMT22;G236;rechercheEtatDocument
PCFIMT23;G237;rechercherGestionPaiement
PCFIMT25;G239;modifierPaiement
PCFIMT26;G240;annulerPaiement
PCFIMT27;G238;visualiserDetailsGestionPaiement
PCFIMT28;G242;visualisationDebitRecherche
PCFIMT29;G241;rechercheEntiteDeGestion
PCFIMT30;G243;visualisationFinanciereSCRecherche
PCFIMT31;G244;rechercheInformationsPaiement
PCFIMT33;G255;rechercheLigneFinanciereCompteUE
PCFIMT34;G256;visualisationLigneFinanciereCompteUE
PCFIMT35;G257;transfertSoldeRechercheUECompte
PCFIMT36;G258;transfertSoldeInsertionUECompte
PCFIMT37;G259;transfertSoldeTransfertUECompte
PCFIMT39;G261;transfertSoldeRechercheSousCompte
PCFIMT40;G262;transfertSoldeTransfertSousCompte
PCFIMT41;G290;ligneFinanciereNonVentile
PCFIMT42;G292;saisieVentilationLigneFinanciere
PCFIMT43;G291;recherchePeriodeNonSolde
PCFIMT44;G293;rechercheLigneFinanciereVentilees
PCFIMT45;G294;annulerVentilationLignesFinancieres
PCFIMT46;G295;modifierVentilationLignesFinancieres
PCFIMT47;G276;rechercherMajorations
PCFIMT49;G287;modificationNiveauIncident
PCFIMT50;G271;validerAnnulationMajoration
PCFIMT51;G272;validerAnnulationRemiseMajoration
PCFIMT52;G273;calculerMajoration
PCFIMT54;G279;gestionSoldeJustificationManuelleSousCompte
PCFIMT55;G280;gestionSoldeJustificationManuelleUE
PCFIMT56;G288;historiqueMiseAJour
PCFIMT57;G281;gestionSoldeRechercherListeSoldesATraiter
PCFIMT58;G282;gestionSoldeRechercherListeSoldesJustifiesManuellement
PCFIMT59;G283;gestionSoldeRechercherListeSoldesUECompteATraiter
PCFIMT60;G284;gestionSoldeRechercherSyntheseSoldeUE
PCFIMT61;G285;gestionSoldeRechercherSyntheseSoldeUEAccesDirect
PCFIMT62;G274;rechercherRemiseAnnulationMajoration
PCFIMT63;G278;validerMajoration
PCFIMT64;G275;validerSaisieRemiseMajoration
PCFIMT65;G289;visualisationSituationEntreprise
PCFIMT66;G296;rechercheLignesFinancieresNonAffectees
PCFIMT67;G297;rechercheCreanceAAffecter
PCFIMT68;G298;creationModificationAnnulationAffectation
PCFIMT69;G299;rechercheLignesFinancieresAffectees
PCFIMT70;G306;remiseAnnulationPenaliteRetard
PCFIMT71;G307;affichageSaisieRemisePenaliteRetard
PCFIMT72;G308;annulationPenaliteRetard
PCFIMT73;G309;validationRemisePenaliteRetard
PCFIMT74;G316;rechercherPenalitesRetard
PCFIMT75;G317;affichagePenalitesRetardModification
PCFIMT76;G318;calculerPenalitesRetard
PCFIMT77;G319;validerPenalitesRetard
PCFIMT78;G320;affichagePenalitesRetardCreation
PCFIMT79;G310;annulationRemisePenaliteRetard
PCFIMT80;G337;rechercherEnvoiQuittance
PCFIMT81;G338;visualiserEnvoiQuittance
PCFIMT82;G372;remboursementRetrocessionRecherche
PCFIMT83;G373;remboursementRetrocessionValiderManuelle
PCFIMT84;G374;remboursementRetrocessionValiderSousCompte
PCFIMT85;G369;DemandeRemboursementRecherche
PCFIMT87;G370;DemandeRemboursementGestion
PCFIMT89;G371;supprimerAnnulerBordereau
PCFIMT90;G322;creerBlocNote
PCFIMT91;G323;modifierBlocNote
PCFIMT92;G324;supprimerBlocNote
PCFIMT93;G325;rechercheBlocNote
PCFIMT94;G339;repartitionFondsCompteTiersRechercheBandeauMandataireOuParticulier
PCFIMT95;G363;rechercherDebitsParticuliers
PCFIMT96;G389;visualisationEvenementSousCompteRecherche
PCFIMT97;G340;repartitionFondsCompteTiersRechercheCompteTiers
PCFIMT98;G341;repartitionFondsCompteTiersRechercheEncaissementTiers
PCFISV1J;G608;TPRechercherEvenementsFinAnn�eUecPeriode
PCFISV1K;G609;TPRechercherP�riodeUECPourExercice
PCFISV1L;G610;TPCr�erEvenementRelanceCompensation
PCFISV1M;G611;TPRechercherDerniersEvenementsFinAnn�e
PCFISV1N;G612;TPAnalyserCoh�renceEv�nementTFA
PCKIMT01;G387;rechercheComparaisonFlux
PCPTMT01;G200;connexesRechercheListUECompteUR
PCPTMT02;G201;gestionDeclarationRechercheDeclaration
PCPTMT03;G202;gestionDeclarationRecupererInformationsDeclaration
PCPTMT04;G204;gestionDeclarationEnregistrerInformationsDocumentDeclaration
PCPTMT05;G205;gestionDeclarationReinitialisationDocumentInformationsDeclaration
PCPTMT06;G206;gestionDeclarationRecupererInformationsInstitution
PCPTMT07;G207;gestionDeclarationEnregistrerInformationsInstitution
PCPTMT08;G208;referentielLibelles
PCPTMT09;G209;referentielMessages
PCPTMT20;G212;visualisationCompteUERechercheCompteUE
PCPTMT22;G215;rechercheInstitutionVisualisationSousCompte
PCPTMT24;G227;rechercheSocieteEncaissement
PCPTMT25;G234;rechercheDocumentsASolder
PCPTMT26;G249;visualiserDetailDecompte
PCPTMT27;G245;rechercheListeDocuments
PCPTMT28;G246;validationMarquageNpai
PCPTMT29;G248;validationDemandeExpedition
PCPTMT30;G250;visualiserDocument
PCPTMT31;G254;rechercheRecyclages
PCPTMT32;G270;enregistrerPaiementSurBordereau
PCPTMT33;G252;visualisationRecyclages
PCPTMT34;G251;rechercheGroupeCompte
PCPTMT38;G311;affichageDajAnomalie
PCPTMT39;G312;validationDajAnomalie
PCPTMT40;G313;rechercheDemandeLsa
PCPTMT41;G314;visualisationDemandeLsa
PCPTMT42;G315;ValiderDemandeLsa
PCPTMT46;G321;connexesRechercheSousFamilleLiee
PCPTMT49;G350;validationEditionDuplicata
PCPTMT50;G360;connexesRechercheListSousInstitutionGPS
PCPTMT51;G366;transfertSoldeRechercherListeDocumentTransfertSolde
PCPTMT52;G380;rechercheCorrespondanceIdentifiant
PCPTMT53;G351;rechercherListeCodeApplicationMigration
PCPTMT54;G385;rechercheAnneeAnteriorite
PCPTMT56;G386;gestionSoldeRecherchePMMotifJustificationSolde
PCPTMT57;G411;rechercheListeSocietesPourRemboursement
PCPTMT60;G418;rechercheRemboursementEtR�trocessionCompteTiers
PCREMT01;G263;historiqueAction
PCREMT02;G264;modificationAction
PCREMT03;G265;modifierCalendrier
PCREMT04;G266;visualisationCalendrier
PCREMT05;G267;historiqueCalendrier
PCREMT06;G268;listeCalendrierDS
PCREMT07;G269;listeCalendrierUE
PCREMT08;G300;chercherListeRadiationIP
PCREMT09;G301;chercherDetailRadiationIP
PCREMT10;G302;ReporterRadiationIP
PCREMT11;G303;RadierRadiationIP
PCREMT12;G304;rechercherInscriptionPrivilege
PCREMT13;G305;validerModificationInscriptionPrivilege
PCREMT14;G326;rechercherDemandeDelaiPaiementParUeCompte
PCREMT15;G327;visualiserDemandeDelaiPaiement
PCREMT16;G328;rechercherSousCompteObjetRecouvrementUeCompte
PCREMT17;G329;validerCreationDemandeDelaiPaiement
PCREMT18;G330;rechercherSousCompteObjetRecouvrementProcedureContentieuse
PCREMT19;G331;visualiserDemandeDelaiPaiementProcedureContentieux
PCREMT20;G332;validerSaisieEcheancierDemandeDelaiPaiementUeCompte
PCREMT21;G333;validerSaisieEcheancierDemandeDelaiPaiementProcedureContentieuse
PCREMT22;G334;validerAcceptationDemandeDelaiPaiementUeCompte
PCREMT23;G335;validerAcceptationDemandeDelaiPaiementProcedureContentieuse
PCREMT24;G336;suiviDemandeDelaiPaiement
PCREMT25;G349;rechercherDateFinSuspension
PCREMT26;G388;validerCreationDemandeDelaiPaiementCtx
PCS0SV10;SC51;restituerEntiteRecouvrement
PCX0MT01;G800;AffichageAssignation
PCX0MT02;G801;ControllerMajAssignation
PCX0MT04;G802;AffichageJugement
PCX0MT05;G803;ControllerMajJugement
PCX0MT06;G805;afficherDetailFrais
PCX0MT07;G806;AffichageSignification
PCX0MT08;G807;ControllerMajSignification
PCX0MT09;G808;creerFraisProcedure
PCX0MT10;G809;injonctionEnvoiAffichage
PCX0MT11;G810;injonctionEnvoiMaj
PCX0MT12;G811;suiviAffichage
PCX0MT13;G812;injonctionReceptionAffichage
PCX0MT14;G813;injonctionReceptionMaj
PCX0MT15;G817;suiviMaj
PCX0MT16;G814;injonctionReceptionDemandeAffichage
PCX0MT17;G815;injonctionReceptionDemandeMaj
PCX0MT18;G918;affichageCompetenceTerritorialeCommune
PCX0MT19;G919;controleEcranCompetenceTerritoriale
PCX0MT20;G816;injonctionSaisieMaj
PCX0MT21;G818;controlerOppositionMandataire
PCX0MT22;G819;affichageBandeau
PCX0MT24;G821;rechercheDirectSoumission
PCX0MT26;G822;detailSoumission
PCX0MT27;G823;refusSoumission
PCX0MT29;G922;afficherAnterioriteAnv
PCX0MT30;G828;rechercheProcedure
PCX0MT31;G825;controlerRechercheAvanceeSoumission
PCX0MT32;G923;validerAnterioriteAnv
PCX0MT34;G827;rechercherGestionnaires
PCX0MT35;G829;listeAuxiliaires
PCX0MT36;G830;listeRoleAuxiliaire
PCX0MT38;G832;ajouterTribunal
PCX0MT39;G834;modifierAuxiliaire
PCX0MT40;G835;modifierTribunal
PCX0MT42;G910;remplacerTribunal
PCX0MT45;G833;listeRolePourAuxiliaire
PCX0MT46;G836;affichageQualification
PCX0MT48;G837;majQualification
PCX0MT49;G838;chargementSJ
PCX0MT50;G927;validerAnterioriteOuverturManuelle
PCX0MT51;G839;validationSJ
PCX0MT52;G843;afficheCreances
PCX0MT54;G844;majCreances
PCX0MT55;G845;detailCreances
PCX0MT56;G846;afficheDocuments
PCX0MT57;G847;majDocuments
PCX0MT58;G848;afficheSynthese
PCX0MT59;G849;majSynthese
PCX0MT61;G850;afficherJournalProcedure
PCX0MT62;G851;afficherSyntheseProcedure
PCX0MT63;G852;afficherTachesProcedure
PCX0MT64;G853;insererProcedureCommentaire
PCX0MT65;G855;modifierReportProcedure
PCX0MT66;G856;procedureAnnulation
PCX0MT67;G857;procedureFermeture
PCX0MT68;G858;controleMessage
PCX0MT69;G804;afficherListeFraisProcedure
PCX0MT70;G862;afficherListeFraisAttente
PCX0MT71;G860;modifierStatutFraisProcedure
PCX0MT73;G861;supprimerFraisProcedure
PCX0MT74;G863;validerPaiementAttente
PCX0MT75;G865;rechercheAuxiliaires
PCX0MT77;G866;procedureVisualiserLC
PCX0MT78;G867;procedureModifierLC
PCX0MT79;G864;rechercheTypesAuxiliaire
PCX0MT80;G868;procedureHistoriqueComptable
PCX0MT81;G869;afficherProduction
PCX0MT82;G872;controllerEtatPlan
PCX0MT83;G876;controllerActionAdmission
PCX0MT84;G870;controllerProduction
PCX0MT85;G871;afficherEtatPlan
PCX0MT86;G875;afficherActionAdmission
PCX0MT87;G877;afficherSituationEtatProcedureCollective
PCX0MT88;G878;afficherEcheance
PCX0MT89;G879;controllerEcheance
PCX0MT8A;G880;afficherSuiviAnv
PCX0MT8B;G881;controlerSuiviAnv
PCX0MT8C;G882;afficherInstitutionAnv
PCX0MT8D;G883;controlerInstitutionAnv
PCX0MT8E;G884;afficherCreancePoursuivieAnv
PCX0MT8F;G885;controlerCreancePoursuivieAnv
PCX0MT8G;G886;detailCreancesAnv
PCX0MT8H;G887;afficherListeLotsAnv
PCX0MT8I;G888;controlerListeLotsAnv
PCX0MT8J;G889;afficherListeProceduresLotAnv
PCX0MT8K;G890;controlerListeProceduresLotAnv
PCX0MT8L;G891;affichageProcedureFermetureAnv
PCX0MT8M;G842 ;validerQualificationAnv
PCX0MT8N;G840;affichageQualificationAnvPar
PCX0MT8O;G841;affichageQualificationAnvTot
PCX0MT8P;G914;rechercherListeLibellesParametrageTiers
PCX0MT8Q;G915;controleEcranCreationTiers
PCX0MT8R;G916;affichageEcranModificationTiers
PCX0MT8S;G917;controleEcranModificationTiers
PCX0MT8W;G892;referentielInstitutions
PCX0MT90;G893;affichageProcedureFermeture
PCX0MT91;G895;recalculerEcheance
PCX0MT92;G896;controllerModificationEcheance
PCX0MT93;G873;afficherValidationSJ
PCX0MT94;G874;controllerValidationSJ
PCX0MT95;G897;afficherMandataire
PCX0MT96;G898;modifierMandataire
PCX0MT97;G899;afficherSecondOriginal
PCX0MT98;G900;modifierSecondOriginal
PCX0MT9D;G901;afficherCourrier
PCX0MT9E;G904;afficherComplementMotif
PCX0MT9F;G905;afficherFraisAccessoires
PCX0MT9G;G906;modifierFraisAccessoires
PCX0MT9I;G903;enregistrerCourrier
PCX0MT9J;G907;finCloturerAuxiliaire
PCX0MT9K;G908;finCloturerTribunal
PCX0MT9L;G859;majFraisProcedure
PCX0MT9M;G831;ajouterAuxiliaire
PCX0MT9N;G909;remplacerAuxiliaire
PCX0MT9O;G894;afficherModificationEcheance
PCX0MT9P;G902;controlerCourrier
PCX0MT9Q;G912;afficherComplementPaiement
PCX0MT9S;G854;afficherReportProcedure
PCX0MT9T;G911;enregistrerComplementMotif
PCX0MT9U;G913;enregistrerComplementPaiement
PCX0MT9W;G826;afficherRechercheAvancee
PCX0MT9X;G824;afficherRechercheAvanceeSoumission
PCX0MTA0;G929;rechercherProceduresModifiables
PCX0MTA1;G930;rechercherDatesProceduresModifiables
PCX0MTA2;G931;modificationProcedureInjonctionPayer
PCX0MTA3;G932;modificationProcedureAssignationMandataire
PCX0MTA4;G933;modificationProcedureAssignationAvocat
PCX0MTA5;G934;modificationProcedureCollective
PCX0MTA6;G940;listerAudiences
PCX0MTA7;G941;restituerDVAudiences
PCX0MTA8;G942;rechercherAudiences
PCX0MTAA;G949;enregistrerRefExterne
PCX0MTAB;G943;creerAudience
PCX0MTAC;G944;supprimerAudience
PCX0MTAD;G948;affichagerListeDesAssignationsAudience
PCX0MTAE;G951;modifierAssignation
PCX0MTAF;G945;afficherActionSurJugement
PCX0MTAG;G946;validerActionSurJugement
PCX0MTAJ;G950;validerAssignation
PCX0MTAO;G947;listerMotifsDeRenvoi
PCX0MTJ4;G928;affichageCompetenceTerritorialeCanton
PI00SV43;SI52;getTablesDeReference
PIADSV01;DI01;getReleveCarriere
PIADSV02;DI12;getLstInfosParticipant
PIADSV04;DI02;getPeriodeLignesSpecif
PIADSV05;DI03;getPrdNeutralMaladie
PIADSV06;DI04;getHistoLigneChomage
PIADSV07;DI05;getHistoVersionLigneCC
PIADSV08;DI06;getEntrepriseLignesSpecif
PIADSV09;DI07;getCumulPointsCarriere
PIADSV10;DI08;getLignesCarrieresAnnulees
PIADSV11;DI09;getPDHAnnulees
PIADSV12;DI10;getPrdNeutralMaladieLCAnnulee
PIADSV13;DI11;getHistoLigneChomageLCAnnulee
PIADSV14;DI25;getRechercheEntreprise
PIADSV15;DI29;getRechercheDroitDRTIndividu
PIADSV46;DID8;updatePointMinoMajo
PIADSV47;DI17;createUpdateLigneCarriereEtVentilation
PIADSV48;DI18;initGererLigneCarriere
PIADSV49;DI19;deleteLigneCarriereEtVentilation
PIADSV50;DI20;deletePDHEtDroits
PIADSV53;DI23;getRaisonSociale
PIADSV55;DI21;getParamFonctionnels
PIADSV56;DI24;getSalaireReference
PIADSV57;DID9;debloqueLigneCarriere
PIADSV70;DI14;getLigneOgac
PIADSV74;DIE3;getLignePsi
PIADSV75;DI16;enregistrementOgac
PIADSVJ0;DI26;getInstitutionsGestion
PIADSVJ1;DI13;createDemandeJournal
PIADSVK8;DI22;controleCreateUpdateLigneCarriere
PIADSVKA;DI15;controleOgac
PIBFSV21;DI96;getRechercheAffaire
PIBFSV22;DI97;getSynthese
PIBFSV23;DI98;getEnteteLocalisation
PIBFSV24;DI99;getEntreprise
PIBFSV25;DIA0;getContrat
PIBFSV26;DIA1;getPeriode
PIBFSV27;DIA2;getTranche
PIBFSV28;DIA3;getPoint
PIBFSV29;DIA4;createEntreprise
PIBFSV30;DIA5;updateEntreprise
PIBFSV31;DIA6;deleteEntreprise
PIBFSV32;DIA7;createContrat
PIBFSV33;DIA8;updateContrat
PIBFSV34;DIA9;deleteContrat
PIBFSV35;DIB0;createPeriode
PIBFSV36;DIB1;updatePeriode
PIBFSV37;DIB2;deletePeriode
PIBFSV38;DIB3;createTranche
PIBFSV39;DIB4;updateTranche
PIBFSV40;DIB5;deleteTranche
PIBFSV41;DIB6;createPoint
PIBFSV42;DIB7;updatePoint
PIBFSV43;DIB8;deletePoint
PIBFSV44;DIB9;getEntiteGestion
PIBFSV45;DIC0;demandeRafraichissementEtEnvoieCIN
PIBFSV48;DIC1;updateEnteteLocalisation
PIBFSV49;DIC2;getStatSEC
PIBFSV50;DIC3;getStatSTA
PIBFSV51;DIC4;getStatSTB
PIBFSV60;DIC5;getRechercheAdresse
PIBFSV61;DIC6;getRechercheEchange
PIBFSV62;DIC7;getDemandeBlocage
PIBFSV63;DIC8;getSyntheseAdresse
PIBFSV64;DIC9;getAdresse
PIBFSV65;DID0;updateAdresse
PIBFSV66;DID1;getDemandeMouvement
PIBFSV69;DID2;getDemandeEvolution
PIBFSV79;DID3;getHistorique
PIBLSV19;DIE0;listeFluxEG
PIBLSV20;DIE1;listeTacheEG
PIBLSV21;DIE2;getCritereRechercheEG
PIBLSVG1;SI53;getListeCleDeCompteASupprimer
PIBLSVG2;SI54;creerDemandeSuppressionCleDeCompte
PIBLSVG3;SI55;supprimerDemandeDeSuppressionCleDeCompte
PIBLSVH1;SI56;getListeCleDeCompteARenumeroter
PIBLSVH2;SI57;creerDemandeRenumerotationCleDeCompte
PIBLSVH3;SI58;supprimerDemandeDeRenumerotationCleDeCompte
PIBLSVS1;DI92;getDemandeReemission
PIBLSVS2;DI93;deleteDemandeReemission
PIBLSVS3;DI94;createDemandeReemission
PIBLSVS4;DI95;listeInstitution
PIBLSVT1;DI27;getEchanges
PIBLSVT2;DI28;getDetailsRejet
PIBLSVT3;DID4;listeMajCertif
PIBLSVT4;DID5;getMajCertif
PIBLSVT5;DID6;validerCertif
PIBLSVT6;DID7;refuserCertif
PIBLSVU1;DIE8;listeDemandeExtraction
PIBLSVU2;DIE9;getDemandeExtraction
PIBLSVU3;DIF0;createDemandeExtraction
PIBLSVU4;DIF1;updateDemandeExtraction
PIBLSVU5;DIF2;deleteDemandeExtraction
PIBLSVU6;DIF3;addCleCompte
PIBLSVU7;DIF4;deleteCleCompte
PIPCSV21;DI55;getRechercheAffaire
PIPCSV22;DI56;getSynthese
PIPCSV23;DI57;getEntete
PIPCSV24;DI59;getEntreprise
PIPCSV25;DI60;getContrat
PIPCSV26;DI61;getPeriode
PIPCSV27;DI62;getTranche
PIPCSV28;DI63;getPoint
PIPCSV29;DI64;createEntreprise
PIPCSV30;DI65;updateEntreprise
PIPCSV31;DI66;deleteEntreprise
PIPCSV32;DI67;createContrat
PIPCSV33;DI68;updateContrat
PIPCSV34;DI69;deleteContrat
PIPCSV35;DI70;createPeriode
PIPCSV36;DI71;updatePeriode
PIPCSV37;DI72;deletePeriode
PIPCSV38;DI73;createTranche
PIPCSV39;DI74;updateTranche
PIPCSV40;DI75;deleteTranche
PIPCSV41;DI76;createPoint
PIPCSV42;DI77;updatePoint
PIPCSV43;DI78;deletePoint
PIPCSV45;DI80;demandeChangementStatut
PIPCSV46;DI58;getSyntheseNFI
PIPCSV47;DI81;getEnteteNFI
PIPCSV48;DI82;updateEntete
PIPCSV49;DI37;initEcranStat
PIPCSV50;DI38;getDmdAgircArrco
PIPCSV51;DI39;getTempsReponse
PIPCSV52;DI40;getDmdTransRescue
PIPCSV53;DI54;getIdentParticipant
PIPCSV54;DI41;getListDemandes
PIPCSV55;DI42;getNbDemandes
PIPCSV61;DI45;creerDemandeTransfertDI
PIPCSV62;DI46;relancerDemandeTransfertDI
PIPCSV63;DI43;annulerTransfertDroitsInscrits
PIPCSV64;DI47;creerNotificationDeFinDInstruction
PIPCSV65;DI48;annulerNotificationDeFinDInstruction
PIPCSV66;DI49;creerAnomalieControle
PIPCSV67;DI50;modifierStatutDmdTransfertDINormesPRC
PIPCSV68;DI51;rechercherDemandesTransfertDIRejet
PIPCSV69;DI44;lireDmdTransfertDINormesPRC
PIPCSV70;DI52;modifierStatutRejet
PIPCSV71;DI53;rechercherDemandesTransfertDINormesPRC
PIPCSV73;DI33;creerAnomaliesTransfertDINormesPRC
PIPCSV74;DI35;getDemandeDI
PIPCSV75;DI34;updateDemandeDI
PIPCSV76;DI36;getSyntheseCmpl
PIPCSV79;DI83;updateNbPoint
PIPCSV87;DI85;getDemandeNFI
PIPCSV88;DI86;updateDemandeNFI
PIPCSV91;DI79;getEntiteGestion
PIPCSV92;DI87;getNomPrenom
PIPCSV93;DI84;rechercherDemandesTransfertDINormesPRCIAA
PIPCSV94;DI88;getLocalisation
PIPCSV95;DI89;updateLocalisation
PIPCSV96;DI90;rechercherDemandesTransfertDIRejetIAA
PIPCSV98;DI91;modifierStatutWebService
PIPCSV99;DIE7;getCleCompteIndividu
PIPISVU1;DIE5;listeDemandeExtraction
PIPISVU2;DIE4;createDemandeExtraction
PIPISVU3;DIE6;updateDemandeExtraction
PNAFMT01;AF01;convertirDadsuCpnCpiCpl
PNAFMT02;AF02;restituerDetailAffiliationIndividu
PNAFMT05;AF05;restituerDonneesDernierePeriodeDS
PNAFMT08;AF08;enregistrerModificationAffiliation
PNAFMT0A;AF0A;rechercheAffiliationsEntreprise
PNAFMT0B;AF0B;rechercheAffiliationsIndividu
PNAFMT15;AF15;modifierAffiliation
PNAFMT16;AF16;creerAffiliation
PNAFMT17;AF17;annulerAffiliation
PNAFMT20;AF20;restituerAffiliationsIndividu
PNAFMT30;AF30;enregistrerParTP
PNAFSV05;AF05;restituerObjetGestionSupportDeConfidentialitePourUnIndividu
PNCOMT01;ZO01;restituerIndividu/getDetailIndividu
PNCOMT02;ZO02;getRolesIndividu
PNCOMT03;ZO03;getAdherent/restituerEntrepriseEtablissementPRENSV04
PNCOMT06;ZO06;verifierHabilitationIndividu
PNCOMT07;ZO07;getListeUEC
PNCOMT08;ZO08;getListeUECTier
PNCOMT0A;ZO0A;restituerTiersPRTISV01
PNCOMT0B;ZO0B;listeCodeAnomalies
PNCOMT0D;ZO0D;restituerInfoObjetGestion
PNCOMT0E;ZO0E;restituerInfosUtilisateur
PNCOMT0F;ZO0F;restituerBandeau
PNCOMT0G;ZO0G;restituerTypesIdentifiantsEnt
PNCOMT0H;ZO0H;restituerTypesIdentifiantsInd
PNCOMT0J;ZO0J;restituerAnneeDemarrageDN
PNCOMT0K;ZO0K;restituerListeEtablissementUEDN
PNCOMT0L;ZO0L;restituerInstitution
PNCOMT21;ZO21;getInstitutionsIndividu
PNCOMT22;ZO22;getInstitutionsAdherent
PNCOMT23;ZO23;getEtablissementsAdherent
PNCOMT24;ZO24;getAdhesionsAdherent
PNCOMT25;ZO25;getUEDNsAdherent
PNCOMT26;ZO26;restituerCPsAdherent/getCPsAdherent
PNCOMT27;ZO27;restituerSignaletiqueReduiteBAC
PNCOMT28;ZO28;verifierHabilitationObjetGestion
PNCOMT29;ZO29;verifierHabilitationRessource/verifierPresenceRessource
PNCOMT2A;ZO2A;controlerExistenceEG
PNCOMT2B;ZO2B;posterCRE
PNCOMT2C;ZO2C;restituerLibelleCPN
PNCOMT30;ZO30;restituerAidesResolutionAnomalie
PNCOMTM0;ZOM0;verifierDisponibiliteOG
PNCOMTOI;ZOOI;restituerDVGrecco
PNCOMTVQ;ZOVQ;restituerListeEGConfidentialite
PNDSMT20;DS20;rechercherLigne
PNDSMT21;DS21;enregistrerReferenceArchive
PNDSMT22;DS22;gererContexte
PNDSMT23;DS23;getPeriodes
PNDSMT24;DS24;getIndividuDeclare
PNDSMT25;DS25;enregistrerIndividuLignesDs
PNDSMT71;DS71;rechercherLignes
PNDSMT72;DS72;supprimerLignes
PNDSMTB5;DSB5;lireConversion
PNDSMTG0;DSG0;rechercherExercice
PNDSMTG1;DSG1;rechercherCampagne
PNDSMTG2;DSG2;rechercherLot
PNDSMTG3;DSG3;lireCriteres
PNDSMTG4;DSG4;lireResultats
PNDSMTG7;DSG7;lireCampagneSuivante
PNDSMTG8;DSG8;creerCampagneSuivante
PNDSMTGA;DSGA;validerLot
PNDSMTGC;DSGC;creerNouvelleCampagne
PNDSMTGF;DSGF;mettreAjourStatutLot
PNDSMTGH;DSGH;lireCandidatsRejete
PNDSMTJ9;DSJ9;notifierReceptionDs/annulerNotificationReceptionDs
PNDSMTJA;DSJA;demanderCreationOperationDs
PNDSMTJB;DSJB;rafraichirCriteresAdherentTiers
PNDSMTJC;DSJC;analyserImpactAnnulationOperationDs
PNDSMTJD;DSJD;restituerAutresDonneesOperationDS
PNDSMTJE;DSJE;rechercherOperationsDs
PNDSMTJF;DSJF;restituerEnTeteOperationDS
PNDSMTJG;DSJG;restituerHistoriqueOperationDS
PNDSMTJH;DSJH;creerReception
PNDSMTJI;DSJI;validerAnnulationOperationDs
PNDSMTJJ;DSJJ;validerCreationOperationDs
PNDSMTJK;DSJK;verifierAccesOperationDs
PNDSMTJL;DSJL;recupererIdentifiant
PNDSMTJM;DSJM;rafraichirSyntheseAnomalies
PNDSMTJN;DSJN;lireSyntheseAnomalies
PNDSMTJO;#N/A;lireImpactsAnomalies
PNDSMTJP;DSJP;preparerReemissionOperationDS
PNDSMTK1;DSK1;recupererReceptionDs
PNDSMTK2;DSK2;forcerIntegrationReceptionDs
PNDSMTK3;DSK3;majReceptionDSPourRapprochement
PNDSMTK4;DSK4;majReceptionDsPourRetraitement
PNDSMTK5;DSK5;annulerReceptionDs
PNDSMTK6;DSK6;majReceptionDs
PNDSMTK7;DSK7;supprimerPeriodesDS
PNDSMTK8;DSK8;rejeterReceptionDs
PNDSMTK9;DSK9;preparerAnnulationReceptionDs
PNDSMTKA;DSKA;rechercherReceptionDS
PNDSMTKB;DSKB;rechercherLignesReceptionDs
PNDSMTKC;DSKC;prequalifCompletudeReceptionDS
PNDSMTKD;DSKD;rapprocherUEDNOperation
PNDSMTKE;DSKE;enregistrerEclatementReceptionDs
PNDSMTKF;DSKF;controleCoupleOperationDSReception
PNDSMTKG;DSKG;enregistrerModifsMasse
PNDSMTKH;DSKH;restituerLignesPeriodesAnomalies
PNDSMTKI;DSKI;rechercherHistoriqueReceptionDS
PNDSMTKJ;DSKJ;annulerReceptionTESE_CEA
PNDSMTKR;DSKR;recupererReceptionDs/rechercherCriteresEclactement
PNDSMTKS;DSKS;restituerSyntheseRegroupement
PNDSMTL0;DSL0;enregistrerModifMasseParTP
PNDSMTL1;DSL1;enregistrerModifMasse
PNDSMTL2;DSL2;recherchePreamorceesNonrecues
PNDSMTL3;DSL3;controlerPeriode
PNDSMTL4;DSL4;restituerPropoRapprochement/restitutionPropositionRapprochement
PNDSMTL5;DSL5;presenterEnteteIndicateurDs
PNDSMTL6;DSL6;restitutionLignesDs
PNDSMTL8;DSL8;supprimer
PNDSMTL9;DSL9;restituerDetailLigneDs
PNDSMTLA;DSLA;restituerIndividuDeclare
PNDSMTLB;DSLB;restitutionSuggestionRapprochement
